Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,3.524437131,-0.711309568,-1.382603381,4.542673443,-1.128195942,-0.381292171,0.620837649,2.381793087,0.732248755,-2.520105232,-3.398328726,-2.640621264,-0.660357449,1.598051506,1.410712271,2.645464971,2.315124478,0.045217513,1.438641403,6.000442451,2.057030776,4.076908194,2.646045172,6.328569352,7.473626206,5.665256404,8.792183461,2.610554049,-2.491707708,6.166096061,2.347632399,0.008194408,4.356395106,2.025405877,2.928152042,1.453496156,2.832917002,3.954228802,-0.223637885,-5.679503689
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26969287,17.47607589,12.99172357,13.66754349,7.633126175,5.741817911,6.107141207,6.270601334,9.807670419,6.394070954,5.060990709,2.765780538,4.171121322,-0.765914439,9.206792438,11.07464165,4.848868092,-4.219542892
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,-8.525422161,-13.28044673,3.973703096,3.94274989,-3.008895348,2.38888571,5.418799263,1.83148029,14.10262987,-2.492918417,4.393616654,-4.680109423,-3.546462355,-1.110776154,5.059199913,2.927608939,1.427684034,-3.512025454,4.772626216,4.424068658,2.053789903,8.897528684,2.041858044,3.177754297,-0.751714799,-0.513646197,0.458086031,2.907953182,3.337960624,7.732532592,3.498221216,2.552908551,5.419895939,-1.531208787,-5.687486752,3.203839838,2.09219186,3.336361051,-3.61826016
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086642408,14.80095444,20.49593151,13.19335073,19.79890087,9.566770776,-3.897418968,2.530077367,-1.413861751,10.6852088,3.199417421,-1.619390317,7.493698753,1.010274187,-1.648258575,-3.607715257,-10.68312008,-8.383578053
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.4524588,10.15319938,16.91508346,14.27281173,15.65167305,3.085638663,17.4224206,6.816980423,4.99668787,8.245976222,0.292319867,6.718423013,2.264947603,4.720308819,2.264503405,-6.150916846,2.490153824,-3.361829401,2.582731212,1.904176757,1.776673996,9.922654853,1.045414504,-1.028152844
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.101057517,0.015218334,-3.430887915,4.1998484,8.55534123,3.916516137,4.218181279,0.956508481,4.636966864,-3.367486521,3.391027595,7.381209129,4.455215062,1.601076872,1.747690264,3.90442755,4.360675401,-1.583177494,1.888413036,0.243820686,-5.833850219
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.698172904,7.091538735,9.35979228,3.828416599,13.81931343,-2.682031468,2.573258144,-6.512338396,2.503402796,8.47717764,3.459890557,3.018931901,1.62481888,5.576633078,2.322810447,-0.241996753,1.753388908,2.104968842,
Argentina,,,,,,,1.109731688,4.231080069,9.474208411,11.5461698,-0.930250743,6.329266011,3.123893826,0.805741918,6.037503261,-1.09100757,0.555648944,8.629089876,-8.334899044,7.541405248,-1.288950459,-10.66333427,-3.20938122,5.377687815,0.674286433,-8.651011895,8.63026418,3.356776926,-3.55197618,-8.588761141,-5.325307987,10.68745987,11.01675292,5.470297026,6.206351238,-3.551436932,6.193445871,8.371139609,1.946101648,-6.622489521,-2.195351962,-5.191488588,-11.35637722,14.16136073,10.81533519,6.534384086,8.664922353,6.033347427,3.072042814,-6.433340906,8.80489749,5.830917839,-2.201126631,0.551194177,-3.462035016,1.389808314,-5.825158741,2.302832903,-3.046092881,-4.801063793,-9.387760035
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.95981562,-72.95262996,0.684444568,8.731405886,0.781348684,5.980531159,1.922897507,0.902494524,6.014421578,23.72355656,5.155130233,21.33756254,24.73102339,7.383981837,14.79745802,16.56743672,11.26100495,7.433431554,-28.55277013,7.419340985,1.768216578,4.991546201,0.513245768,-2.106900969,3.413015781,0.336493348,10.267193,2.621900689,7.537911326,-2.181885913
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,2.125792246,20.01219637,19.45465632,12.97532357,-20.59239683,-0.550613047,9.658519267,18.46649471,22.99019188,22.98688104,9.762952247,11.64709059,-5.051935087,4.419171405,-2.201649292,-6.109299181,4.494620012,2.16483561,11.07892544,7.251812953,7.614162475,7.945154601,6.520243147,-18.26379542,6.023382183,8.647574082,1.82114472,19.55917451,35.45008337,8.098689229,0.351259884,-6.819998082,-25.29031373,-13.23384227,2.950437935,5.176579448,4.2228739,2.787938473,12.45979424,12.65137224,20.02664938,5.723244022,-17.12996467
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,5.781047076,-0.941023145,3.474089901,2.119393401,-1.94613116,-1.950721113,2.530706938,-2.185124811,5.218952933,1.975214681,0.326912148,3.4642537,2.815139452,6.240011346,4.121730903,0.953844446,-0.172002156,4.560872504,3.370545975,1.700152802,1.638914074,2.850079699,3.017893789,4.1273412,1.763817997,-0.717005479,2.443982606,3.16172321,2.033323164,3.652986092,5.137941595,-0.278931922,-11.30414558,3.379757716,3.983495622,1.470781713,0.590506167,0.021936672,-0.009310369,3.035128398,3.829282886,4.241553778,1.350355724,-5.904154722
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1340914,-27.25610403,-13.39563676,7.296947698,17.72873742,17.9068411,2.636108093,-13.23745733,8.283654102,11.28346734,11.55520958,9.893800292,46.08286701,49.81729764,33.21576557,9.671601157,10.64573184,3.865072999,-5.489793714,-0.847360783,4.598025713,0.204396452,-2.323497232,-4.218288255,-3.511380399,-0.716260826,0.956383044,-6.285813246
Burundi,,,,,,,,,,,,5.627206717,-2.325814848,1.862587028,3.664027537,0.626830012,10.34428804,24.43582962,11.41616185,0.811383293,10.13145548,9.575073765,9.246610914,3.24706208,1.541064342,9.308137707,1.323543823,7.41080008,0.555370667,0.719166508,7.488088068,9.27966372,8.569997557,-14.02000001,-18.47,-16.59000001,3.880000023,-1.050851708,-1.589999972,4.58999996,-6.230151807,-6.230151808,-6.230151778,-6.230151802,-6.230151832,1.550918928,5.368245093,8.336773745,4.844849217,9.040602462,1.364424586,1.855587825,5.273086076,2.435906272,6.200108319,-16.1,-1.3,0.699999992,2.400030006,2.100016324,1.760060002
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.399668941,5.924526482,1.579316744,1.665584717,6.077177555,0.42709992,0.033252035,0.329556511,4.855869589,2.378488773,0.704294381,4.838495404,-2.018086876,-4.983757108,4.788446922,1.327086506,-1.839984668,-0.158781469,3.180161676,2.877931715,-0.85256214,1.101076835,0.029332759,2.697822468,-4.273832374
Benin,,,,,,,,,,,,-7.246927691,14.05375598,-2.839775748,28.26079717,-13.56662801,-12.37372098,14.25993682,-6.270615436,7.829513689,-1.277845055,19.09907171,34.38589636,-3.907365865,8.433770103,9.166653027,-21.37404749,-0.161811814,5.996756205,7.804276567,8.199613789,4.536951694,9.052401456,-1.793645191,4.833912976,3.921187517,7.696279374,3.508440566,-0.187647251,1.749735869,9.208547035,13.35750338,1.858784307,1.177036833,1.075484477,6.595173593,3.048635753,-1.770191052,-8.902815787,1.531987043,3.367779983,0.175324284,3.664171877,6.199581911,3.891504544,13.78687545,0.891605888,0.469051557,4.84097645,13.55839444,5.17512692
Burkina Faso,,,,,,,,,,,,3.996846937,2.018167545,13.07972553,-11.68376935,20.98329386,10.77334645,-16.91617943,7.659246528,-2.920367027,4.148972819,-1.333099166,7.896378194,0.783076336,1.748231836,5.538926698,10.10692636,8.370007551,-0.950753377,-0.542984549,7.629099288,0.125977892,4.162907087,5.274129284,-4.562996885,0.198362208,-0.870013453,20.39839101,4.344255316,34.6975079,-3.091173227,5.058291512,6.045936023,13.8733313,5.569582391,5.042291904,5.260776488,13.79095062,-2.147389857,11.40718689,12.01703323,12.51931791,-1.726322636,4.649743256,10.39052044,6.465250956,5.044572227,5.221328061,2.763113435,2.274126156,
Bangladesh,,2.033753924,26.64647817,3.919266143,36.05367954,7.88599114,-4.007914719,-13.32195305,18.40282923,6.022495614,0.737672313,-19.63835617,-46.68484858,69.68998827,20.60461415,-12.59212084,-1.545747865,17.14595329,4.586990389,21.1330198,-3.820950916,5.009257623,3.377545205,3.899067445,9.62858042,6.18843548,6.908457936,8.626892432,3.123026858,3.77914617,7.297530482,4.7108984,6.989203263,8.094186604,8.129669182,10.13436684,6.736726694,5.225481967,8.726901365,5.241305046,6.255771363,7.461679691,5.803009825,6.581699727,7.049271768,7.932370962,9.797899954,9.027828231,7.033534043,6.913173254,7.032201959,9.019130178,9.435598764,9.639358906,8.160014237,9.666904855,11.09373384,10.22460167,12.06057128,12.66964724,1.300002479
Bulgaria,,,,,,,,,,,,,,,,,,,,,,5.467692845,9.346557287,7.639156861,6.13131833,5.094077754,5.192918336,5.373800452,9.914262089,0.965210422,-12.50000002,-18.6,-6.400000086,-6.199999706,5.999999528,-5.470486252,-0.121365559,8.648199579,3.663602969,-3.124561809,11.60298733,5.323510273,5.002319355,7.062758278,3.994121375,5.040041186,8.51846789,11.60265993,4.581862668,-4.573721637,-7.934156072,5.431862569,1.676827509,0.167517587,2.592749248,3.389654758,5.008021813,3.469908827,-1.074556679,-0.492792165,-4.593001173
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.780990898,4.686710179,0.075136966,2.343972491,1.452041689,-1.753145189,8.897917936,4.771802255,1.302317681,2.852021088,0.550045611,1.067049631,2.259965775,-0.921137414
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.847212078,-2.781233926,1.356382556,-10.72531337,12.08193137,-0.635086346,3.05195192,19.79529087,-13.26589931,-17.62734584,10.36615134,-34.63580065,25.89668396,51.56781939,-12.20002364,22.28355998,-10.41620788,-51.63470993,99.18678526,-5.473335034,50.42515859,12.52579632,11.41854717,-6.705789737,13.67750844,-1.788244821,5.057028995,-0.686723349,-8.51498189,4.614166427,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.504010134,8.099610628,9.13810033,-4.586389081,1.636305799,-0.322012116,-2.57301761,3.932656199,1.727892777,3.615926865,4.727984521,5.043225241,3.850794416,-0.530026466,-4.729978546
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419843072,-8.389326466,-11.7129805,-17.3612747,-13.44112046,3.372659639,17.96421117,10.84166343,7.570681323,5.816849374,4.799733835,6.971359815,10.61760605,18.82974162,13.5544629,14.14235793,9.300201565,15.54315671,0.303744022,12.0841008,7.243499574,2.037146916,-1.920531406,1.501974656,-7.345879299,-4.670197582,3.558677876,5.151705731,1.67224455,-0.320120719
Belize,,,,,,,,,,,,6.212794443,13.69615011,9.021033266,11.51240803,6.359336723,-0.521504696,15.22764972,7.554704904,5.711058393,37.94662947,3.847195816,-2.157659048,-1.639451384,-1.47128639,1.019198905,3.558094593,10.01391896,5.761158927,14.86544628,10.98846398,7.250397009,10.54186351,8.683940984,-5.671287797,-0.265339339,-1.792315869,1.64757404,-2.059377011,9.283103717,24.7221955,0.554157246,2.173925447,-3.4461309,7.383654475,-0.902904525,24.71923181,2.235121664,6.535116363,16.70351289,-4.036263272,-2.811000833,-6.019484002,-7.04586204,-2.504954995,-3.07184358,1.731604628,0.945853296,0.923994757,-4.226938462,-1.604183233
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.33924791,-9.343446568,-3.708647985,-3.559034618,-1.024734662,0.788891913,4.182075778,7.911335271,15.31057225,
Bolivia,,-1.46484375,10.10901883,9.989959839,6.709265176,10.26518392,8.960434445,11.96155215,6.009538951,7.168566287,4.170165127,7.279263828,12.19332227,9.963827688,2.399820574,3.287824584,3.899439235,6.492505159,0.971039182,-4.528007424,-5.65729307,-3.323302673,-9.235619899,-1.155742969,-4.258077391,-7.313245695,-9.515578185,3.602558388,4.0109483,7.99439873,7.090054407,4.213851614,1.798297718,5.425094611,4.677313217,6.987587606,3.06044374,3.714005542,7.081010697,-1.9612929,2.43327319,0.207331828,2.679038607,0.895130619,6.302871842,6.474664457,6.934288649,6.997928245,10.57985216,2.896253825,3.843105747,4.866376542,5.203911938,7.53006734,5.236424466,2.621170661,4.008365454,2.249260262,2.27688047,0.123099561,
Brazil,,,,,,,10.40325383,2.791068279,13.5296217,11.94351599,8.892188588,11.84287645,14.34121786,17.13153046,8.348297563,4.780029374,11.71275176,3.106842906,11.22958855,6.79717895,9.262825502,-8.847873487,0.023011863,-5.844863074,6.60104199,8.26919592,11.76279753,1.052096588,-2.585363153,2.875663339,-8.201914994,-4.242337383,-4.009306159,7.84109645,8.049194042,4.738915281,-0.964633954,4.226281608,-2.284096532,-2.55823423,4.446726683,-0.620418099,3.426841625,-0.298731422,8.839575434,1.39531773,1.467277979,6.748332609,4.178628627,-4.030730519,10.17394319,4.11408919,-0.723089564,2.166445959,-1.508050637,-5.761827989,-4.565734527,-0.500729983,0.716981132,0.366846514,-3.482545385
Barbados,,,,,,,,,,,,,,,,,15.23714627,-2.194168713,9.810952452,6.253180047,4.438881278,-1.042966506,-6.744868035,3.333333333,2.434570907,-4.693998812,5.985037406,-1.176470588,6.904761905,5.512249443,-4.485488127,-4.585635263,-12.73885399,1.393498276,1.178006562,6.274263217,5.53864553,7.554787927,-2.573729833,2.751790146,-0.482055181,-0.645858372,4.60455356,-0.517870774,2.706923028,7.146483144,-1.981221208,-0.102389398,6.475288775,-14.82572855,-10.03319897,-0.915534366,-1.267930705,-1.486443667,-0.497968827,1.731768126,-1.80700451,1.798917856,-2.299050027,-3.355177432,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.288145364,5.383696541,5.318835844,-1.006703595,3.671075363,5.357925794,4.653653497,-6.072406316,-0.264075767,3.596782131,2.979952629,0.831163476,4.494362269,3.481726179,-0.54650879,-1.790433756,2.856554943,-5.572802413,-5.440828856,-5.016608163,1.720210425,3.248369816,-1.387163907,-5.636112376,-4.363067359,-0.033795566,-2.942531815,1.51446826,-0.363798898,4.191816578,2.926768416
Bhutan,,,,,,,,,,,,,,,,,,,,,,69.9820821,7.539683415,27.95076935,2.205250419,-5.905130352,26.90973589,89.21741457,-0.801522922,9.794237999,-1.266220832,-2.591491839,15.03271854,1.322179303,7.036072018,15.96105745,3.583545192,-0.842265808,4.691576272,15.07647558,7.256609992,12.76485288,16.7617859,9.63713524,2.038478371,3.777132106,8.841195703,40.72891181,6.216629087,3.45398961,12.4842065,4.058632424,6.767855151,3.90191516,3.712273902,8.215780756,6.936500311,2.547213928,-4.983136051,2.006335719,
Botswana,,-2.162180809,3.314946347,-7.486605082,50.07426319,65.97951415,-4.475376001,5.779612226,-8.30046965,114.0366122,70.51056169,23.71400478,26.37574244,21.24154952,8.995482359,20.46766777,13.11761634,22.4121165,20.84204447,10.73827524,21.3371109,17.582265,22.37700351,22.4936758,8.33361901,3.501096018,7.127100584,8.687192263,16.35903776,10.59485627,3.878604593,4.612399847,-1.820789565,-0.836820512,2.55277731,7.134799051,-0.658725268,6.573717177,-1.525246532,6.671219355,6.80542928,0.405981937,12.75227379,1.835751501,-1.148032938,5.637008469,7.799628433,2.008773085,0.086959539,-27.02996274,13.12918754,1.458425006,0.301390272,15.86539752,-0.23324667,-8.941357655,1.143336252,-2.500087975,5.519846322,0.191017821,-15.93215554
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.741202549,12.66609516,7.24998248,-45.79391269,-14.91785493,12.28304541,2.863503623,1.738444688,1.522707111,3,0.242042903
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.869596629,5.988191409,6.340004777,-0.705945013,2.955723263,0.912239756,3.301222314,2.967270225,1.085766712,0.501331759,-1.500562883,-9.852379586,6.668094149,4.548098861,2.334529134,2.582726607,4.297635526,-1.104302391,-1.422952385,3.731399883,3.217504946,-0.176125519,-7.106802127
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.126244355,0.946934735,1.684766246,0.648831716,2.955336965,3.019822503,3.393288675,5.264801619,7.44949046,5.894393408,10.30927167,7.280709051,5.753145177,-6.212682285,3.67023401,4.984993302,-2.545782774,-0.740177962,5.341234352,4.679780534,2.029579241,4.335335334,4.284224715,1.884720791,-4.016038756
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252948739,-0.468613002,-0.385777162,3.18091007,-0.506244342,-1.973877621,0.142008359,1.381880975,0.538181727,1.108524598,3.835038667,1.218081437,-0.37412076,0.284741024,4.416468787,4.502128906,3.469874723,2.642452374,-8.715367514,6.289066926,6.423393133,-1.154445754,2.166180384,0.733626982,-0.195214555,2.254301594,4.147875196,5.515275607,2.107376428,-4.601282054
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,4.867407924,12.37643131,7.5933061,1.401128237,0.055313265,7.647083838,2.684311886,4.062593173,3.796778099,1.901963403,9.916900412,-2.169488831,-7.116795735,5.663893336,-21.81209999,3.941418784,5.871325964,7.262456937,9.111380254,8.191019643,6.283486469,-14.68419961,-0.765201358,7.058157801,4.753114177,5.790019381,4.224003176,8.270365239,8.716840298,1.667550948,7.364553383,9.248728776,7.636800283,4.480971039,8.365895775,6.638805311,7.588992951,4.222762473,1.089198931,4.280403451,1.711943615,0.226697475,1.893210484,3.80898323,1.457166577,3.976342775,0.494613947,1.516526944,-2.775275018,3.056834207,2.865722843,4.792221643,4.314495051,0.482201171,0.916182404,-0.245197491,-0.525642251,3.880428752,-0.19993638,-3.664864749
China,,-41.90000001,-10.59999997,14.49999999,25.50000002,24.00000002,22.19999999,-14.3,-9.200000027,33.00000004,34.59999998,12.4,6.700000016,8.300000003,1.400000002,15.69999998,-2.399999996,13.20000001,15.2960144,8.22470013,13.48960714,1.883293893,5.575464624,10.38389387,14.42346389,18.40017715,10.21821277,13.59537087,14.33917171,3.74883613,3.174669461,13.78537046,21.03404567,19.74461989,18.14166359,13.82515974,12.09219828,10.47803069,8.903053633,8.203147969,9.473841434,8.491270534,9.894748775,12.66723649,11.14592233,12.12839131,13.45069554,15.05071426,9.838989907,10.29280498,12.6835957,10.6886752,8.363640405,7.987214292,7.155565422,5.926763763,6.03148306,5.868289508,5.792406827,4.874543817,2.6
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.885672865,-4.003464738,-7.649659258,-1.430141837,28.83545941,4.502016543,8.295765745,5.325894948,15.41643965,10.65254386,10.41036818,
Cameroon,,,,,,,5.268365905,1.299073915,12.04056309,6.534268452,-1.303178149,12.05707464,-3.426746571,4.182621101,5.420501531,3.652535209,7.676607159,18.33702675,10.44205544,43.65964504,8.856509198,30.67980832,17.99094011,18.34355724,4.920630684,8.639538002,6.091910738,0.514444971,-7.086134382,-2.301119601,-6.800000274,-6.599996729,-10.40000144,-9.941228516,-2.968386725,-3.31007669,-1.176675681,-1.895446822,8.462943951,7.624160749,2.991741227,0.928841152,7.943027266,0.221320795,1.887337043,15.665834,5.824397799,3.174547663,2.39491521,-0.426430703,-1.213143583,3.365402061,5.110233064,6.891534964,5.519475359,9.554464702,3.563084909,1.254185305,3.098933006,4.912537979,3.392061095
